,SPAM,text,casefolding,tweet_tokens,tweet_tokens_fdist,tweet_stopwords_removal,tweet_normalized,tweet_tokens_stemmed
0,1.0,"Enervon C Multivitamin
(Vitamin C)
Rp.38.935,-
⭐⭐⭐⭐⭐(5/5)

Link : https://t.co/mrn0jicoYZ",enervon  multivitamin vitamin  rp link,"['enervon', 'multivitamin', 'vitamin', 'rp', 'link']",<FreqDist with 5 samples and 5 outcomes>,"['enervon', 'multivitamin', 'vitamin', 'link']","['enervon', 'multivitamin', 'vitamin', 'link']","['enervon', 'multivitamin', 'vitamin', 'link']"
1,1.0,"Menjaga kesehatan setiap hari adalah hal yang penting

Jangan lupa selalu sedia Enervon dengan berbagai varian:

Enervon-C Tablet mengandung Vitamin C 500 mg dan Vitamin B Kompleks untuk bantu memelihara kesehatan tubuh biar nggak gampang sakit https://t.co/OU1PhPOpsA",menjaga kesehatan setiap hari adalah hal yang penting jangan lupa selalu sedia enervon dengan berbagai varian enervonc tablet mengandung vitamin  mg dan vitamin  kompleks untuk bantu memelihara kesehatan tubuh biar nggak gampang sakit,"['menjaga', 'kesehatan', 'setiap', 'hari', 'adalah', 'hal', 'yang', 'penting', 'jangan', 'lupa', 'selalu', 'sedia', 'enervon', 'dengan', 'berbagai', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'dan', 'vitamin', 'kompleks', 'untuk', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'biar', 'nggak', 'gampang', 'sakit']",<FreqDist with 31 samples and 33 outcomes>,"['menjaga', 'kesehatan', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'nggak', 'gampang', 'sakit']","['menjaga', 'kesehatan', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'nggak', 'gampang', 'sakit']","['jaga', 'sehat', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'kandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'pelihara', 'sehat', 'tubuh', 'nggak', 'gampang', 'sakit']"
2,1.0,"Menjaga kesehatan setiap hari adalah hal yang penting

Jangan lupa selalu sedia Enervon dengan berbagai varian:

Enervon-C Tablet mengandung Vitamin C 500 mg dan Vitamin B Kompleks untuk bantu memelihara kesehatan tubuh biar nggak gampang sakit https://t.co/7QVd3x5nz9",menjaga kesehatan setiap hari adalah hal yang penting jangan lupa selalu sedia enervon dengan berbagai varian enervonc tablet mengandung vitamin  mg dan vitamin  kompleks untuk bantu memelihara kesehatan tubuh biar nggak gampang sakit,"['menjaga', 'kesehatan', 'setiap', 'hari', 'adalah', 'hal', 'yang', 'penting', 'jangan', 'lupa', 'selalu', 'sedia', 'enervon', 'dengan', 'berbagai', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'dan', 'vitamin', 'kompleks', 'untuk', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'biar', 'nggak', 'gampang', 'sakit']",<FreqDist with 31 samples and 33 outcomes>,"['menjaga', 'kesehatan', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'nggak', 'gampang', 'sakit']","['menjaga', 'kesehatan', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'nggak', 'gampang', 'sakit']","['jaga', 'sehat', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'kandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'pelihara', 'sehat', 'tubuh', 'nggak', 'gampang', 'sakit']"
3,1.0,"Menjaga kesehatan setiap hari adalah hal yang penting

Jangan lupa selalu sedia Enervon dengan berbagai varian:

Enervon-C Tablet mengandung Vitamin C 500 mg dan Vitamin B Kompleks untuk bantu memelihara kesehatan tubuh biar nggak gampang sakit https://t.co/EwMnXQFEXq",menjaga kesehatan setiap hari adalah hal yang penting jangan lupa selalu sedia enervon dengan berbagai varian enervonc tablet mengandung vitamin  mg dan vitamin  kompleks untuk bantu memelihara kesehatan tubuh biar nggak gampang sakit,"['menjaga', 'kesehatan', 'setiap', 'hari', 'adalah', 'hal', 'yang', 'penting', 'jangan', 'lupa', 'selalu', 'sedia', 'enervon', 'dengan', 'berbagai', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'dan', 'vitamin', 'kompleks', 'untuk', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'biar', 'nggak', 'gampang', 'sakit']",<FreqDist with 31 samples and 33 outcomes>,"['menjaga', 'kesehatan', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'nggak', 'gampang', 'sakit']","['menjaga', 'kesehatan', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'nggak', 'gampang', 'sakit']","['jaga', 'sehat', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'kandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'pelihara', 'sehat', 'tubuh', 'nggak', 'gampang', 'sakit']"
4,1.0,"Menjaga kesehatan setiap hari adalah hal yang penting

Jangan lupa selalu sedia Enervon dengan berbagai varian:

Enervon-C Tablet mengandung Vitamin C 500 mg dan Vitamin B Kompleks untuk bantu memelihara kesehatan tubuh biar nggak gampang sakit https://t.co/N7FqLH7Wd4",menjaga kesehatan setiap hari adalah hal yang penting jangan lupa selalu sedia enervon dengan berbagai varian enervonc tablet mengandung vitamin  mg dan vitamin  kompleks untuk bantu memelihara kesehatan tubuh biar nggak gampang sakit,"['menjaga', 'kesehatan', 'setiap', 'hari', 'adalah', 'hal', 'yang', 'penting', 'jangan', 'lupa', 'selalu', 'sedia', 'enervon', 'dengan', 'berbagai', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'dan', 'vitamin', 'kompleks', 'untuk', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'biar', 'nggak', 'gampang', 'sakit']",<FreqDist with 31 samples and 33 outcomes>,"['menjaga', 'kesehatan', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'nggak', 'gampang', 'sakit']","['menjaga', 'kesehatan', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'nggak', 'gampang', 'sakit']","['jaga', 'sehat', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'kandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'pelihara', 'sehat', 'tubuh', 'nggak', 'gampang', 'sakit']"
5,1.0,"Menjaga kesehatan setiap hari adalah hal yang penting

Jangan lupa selalu sedia Enervon dengan berbagai varian:

Enervon-C Tablet mengandung Vitamin C 500 mg dan Vitamin B Kompleks untuk bantu memelihara kesehatan tubuh biar nggak gampang sakit https://t.co/p0FxwE7hLX",menjaga kesehatan setiap hari adalah hal yang penting jangan lupa selalu sedia enervon dengan berbagai varian enervonc tablet mengandung vitamin  mg dan vitamin  kompleks untuk bantu memelihara kesehatan tubuh biar nggak gampang sakit,"['menjaga', 'kesehatan', 'setiap', 'hari', 'adalah', 'hal', 'yang', 'penting', 'jangan', 'lupa', 'selalu', 'sedia', 'enervon', 'dengan', 'berbagai', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'dan', 'vitamin', 'kompleks', 'untuk', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'biar', 'nggak', 'gampang', 'sakit']",<FreqDist with 31 samples and 33 outcomes>,"['menjaga', 'kesehatan', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'nggak', 'gampang', 'sakit']","['menjaga', 'kesehatan', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'nggak', 'gampang', 'sakit']","['jaga', 'sehat', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'kandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'pelihara', 'sehat', 'tubuh', 'nggak', 'gampang', 'sakit']"
6,1.0,"Menjaga kesehatan setiap hari adalah hal yang penting

Jangan lupa selalu sedia Enervon dengan berbagai varian:

Enervon-C Tablet mengandung Vitamin C 500 mg dan Vitamin B Kompleks untuk bantu memelihara kesehatan tubuh biar nggak gampang sakit https://t.co/a4r3aRsgxR",menjaga kesehatan setiap hari adalah hal yang penting jangan lupa selalu sedia enervon dengan berbagai varian enervonc tablet mengandung vitamin  mg dan vitamin  kompleks untuk bantu memelihara kesehatan tubuh biar nggak gampang sakit,"['menjaga', 'kesehatan', 'setiap', 'hari', 'adalah', 'hal', 'yang', 'penting', 'jangan', 'lupa', 'selalu', 'sedia', 'enervon', 'dengan', 'berbagai', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'dan', 'vitamin', 'kompleks', 'untuk', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'biar', 'nggak', 'gampang', 'sakit']",<FreqDist with 31 samples and 33 outcomes>,"['menjaga', 'kesehatan', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'nggak', 'gampang', 'sakit']","['menjaga', 'kesehatan', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'nggak', 'gampang', 'sakit']","['jaga', 'sehat', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'kandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'pelihara', 'sehat', 'tubuh', 'nggak', 'gampang', 'sakit']"
7,1.0,"Coba cek ini, deh: ""Enervon C 1 Strip/Lembar Isi 4 Tablet"" Rp5.000 di toko Apotek Ungu Farma Tokopedia. Bisa bebas ongkir, lho.
https://t.co/aOBLBC2cU2 https://t.co/QvnJJzeQN7",coba cek ini deh enervon  striplembar isi tablet rp di toko apotek ungu farma tokopedia bisa bebas ongkir lho,"['coba', 'cek', 'ini', 'deh', 'enervon', 'striplembar', 'isi', 'tablet', 'rp', 'di', 'toko', 'apotek', 'ungu', 'farma', 'tokopedia', 'bisa', 'bebas', 'ongkir', 'lho']",<FreqDist with 19 samples and 19 outcomes>,"['coba', 'cek', 'deh', 'enervon', 'striplembar', 'isi', 'tablet', 'toko', 'apotek', 'ungu', 'farma', 'tokopedia', 'bebas', 'ongkir', 'lho']","['coba', 'cek', 'deh', 'enervon', 'striplembar', 'isi', 'tablet', 'toko', 'apotek', 'ungu', 'farma', 'tokopedia', 'bebas', 'ongkir', 'lho']","['coba', 'cek', 'deh', 'enervon', 'striplembar', 'isi', 'tablet', 'toko', 'apotek', 'ungu', 'farma', 'tokopedia', 'bebas', 'ongkir', 'lho']"
8,1.0,"Menjaga kesehatan setiap hari adalah hal yang penting

Jangan lupa selalu sedia Enervon dengan berbagai varian:

Enervon-C Tablet mengandung Vitamin C 500 mg dan Vitamin B Kompleks untuk bantu memelihara kesehatan tubuh biar nggak gampang sakit https://t.co/cB7GvTJXOK",menjaga kesehatan setiap hari adalah hal yang penting jangan lupa selalu sedia enervon dengan berbagai varian enervonc tablet mengandung vitamin  mg dan vitamin  kompleks untuk bantu memelihara kesehatan tubuh biar nggak gampang sakit,"['menjaga', 'kesehatan', 'setiap', 'hari', 'adalah', 'hal', 'yang', 'penting', 'jangan', 'lupa', 'selalu', 'sedia', 'enervon', 'dengan', 'berbagai', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'dan', 'vitamin', 'kompleks', 'untuk', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'biar', 'nggak', 'gampang', 'sakit']",<FreqDist with 31 samples and 33 outcomes>,"['menjaga', 'kesehatan', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'nggak', 'gampang', 'sakit']","['menjaga', 'kesehatan', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'nggak', 'gampang', 'sakit']","['jaga', 'sehat', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'kandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'pelihara', 'sehat', 'tubuh', 'nggak', 'gampang', 'sakit']"
9,1.0,"Menjaga kesehatan setiap hari adalah hal yang penting

Jangan lupa selalu sedia Enervon dengan berbagai varian:

Enervon-C Tablet mengandung Vitamin C 500 mg dan Vitamin B Kompleks untuk bantu memelihara kesehatan tubuh biar nggak gampang sakit https://t.co/DJUkxxpbZM",menjaga kesehatan setiap hari adalah hal yang penting jangan lupa selalu sedia enervon dengan berbagai varian enervonc tablet mengandung vitamin  mg dan vitamin  kompleks untuk bantu memelihara kesehatan tubuh biar nggak gampang sakit,"['menjaga', 'kesehatan', 'setiap', 'hari', 'adalah', 'hal', 'yang', 'penting', 'jangan', 'lupa', 'selalu', 'sedia', 'enervon', 'dengan', 'berbagai', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'dan', 'vitamin', 'kompleks', 'untuk', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'biar', 'nggak', 'gampang', 'sakit']",<FreqDist with 31 samples and 33 outcomes>,"['menjaga', 'kesehatan', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'nggak', 'gampang', 'sakit']","['menjaga', 'kesehatan', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'mengandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'memelihara', 'kesehatan', 'tubuh', 'nggak', 'gampang', 'sakit']","['jaga', 'sehat', 'lupa', 'sedia', 'enervon', 'varian', 'enervonc', 'tablet', 'kandung', 'vitamin', 'mg', 'vitamin', 'kompleks', 'bantu', 'pelihara', 'sehat', 'tubuh', 'nggak', 'gampang', 'sakit']"
